sample_id,name,city,category,baseline_query,baseline_url,baseline_description,baseline_relevant,baseline_judge_raw,baseline_zero_recall,baseline_hallucination,heuristic_query,heuristic_url,heuristic_description,heuristic_relevant,heuristic_judge_raw,heuristic_zero_recall,heuristic_hallucination
setA-001,故宫,北京,历史文化,故宫,https://images.unsplash.com/photo-1636550230446-7632d97d1e77?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTYlOTUlODUlRTUlQUUlQUJ8ZW58MXwwfHx8MTc3Mzg0NTAyM3ww&ixlib=rb-4.1.0&q=80&w=1080,故宫雪景,True,1,False,False,故宫 北京,https://images.unsplash.com/photo-1620826502427-9e8faa18d3f0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxMHx8JUU2JTk1JTg1JUU1JUFFJUFCJTIwJUU1JThDJTk3JUU0JUJBJUFDfGVufDF8MHx8fDE3NzM4NDUwMjd8MA&ixlib=rb-4.1.0&q=80&w=1080,北京故宫博物院,True,1,False,False
setA-002,天坛,北京,历史文化,天坛,https://images.unsplash.com/photo-1584872589930-e99fe5bf4408?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTUlQTQlQTklRTUlOUQlOUJ8ZW58MXwwfHx8MTc3Mzg0NTAzMHww&ixlib=rb-4.1.0&q=80&w=1080,"The Temple of Heaven, Beijing, China.",True,1,False,False,天坛,https://images.unsplash.com/photo-1744630828154-76de5eb384e2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHw2fHwlRTUlQTQlQTklRTUlOUQlOUJ8ZW58MXwwfHx8MTc3MzkyNDU3M3ww&ixlib=rb-4.1.0&q=80&w=1080,天坛夜景,True,1,False,False
setA-003,国家博物馆,北京,历史文化,国家博物馆,,,False,,True,False,国家博物馆 景点,,,False,,True,False
setA-004,颐和园,北京,历史文化,颐和园,https://images.unsplash.com/photo-1669382485231-ef86d9fa986f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTklQTIlOTAlRTUlOTIlOEMlRTUlOUIlQUR8ZW58MXwwfHx8MTc3Mzg4MzM5M3ww&ixlib=rb-4.1.0&q=80&w=1080,北京颐和园,True,1,False,False,颐和园,https://images.unsplash.com/photo-1669382485231-ef86d9fa986f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTklQTIlOTAlRTUlOTIlOEMlRTUlOUIlQUR8ZW58MXwwfHx8MTc3MzkyNDU5OHww&ixlib=rb-4.1.0&q=80&w=1080,北京颐和园,True,1,False,False
setA-005,什刹海,北京,城市风光,什刹海,https://images.unsplash.com/photo-1675686191883-f0536ffe9a99?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTQlQkIlODAlRTUlODglQjklRTYlQjUlQjd8ZW58MXwwfHx8MTc3MzkxMjk4OXww&ixlib=rb-4.1.0&q=80&w=1080,a group of people standing around in a park,True,1,False,False,什刹海 Beijing,,,False,,True,False
setA-006,外滩,上海,城市风光,外滩,https://images.unsplash.com/photo-1718427778421-ad719f965738?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTUlQTQlOTYlRTYlQkIlQTl8ZW58MXwwfHx8MTc3Mzg0NTAzNnww&ixlib=rb-4.1.0&q=80&w=1080,a view of a large city with tall buildings,True,1,False,False,外滩,https://images.unsplash.com/photo-1592311800804-1b72948c1a99?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHw3fHwlRTUlQTQlOTYlRTYlQkIlQTl8ZW58MXwwfHx8MTc3MzkyNDYyNnww&ixlib=rb-4.1.0&q=80&w=1080,"The Bund
外滩",True,1,False,False
setA-007,东方明珠,上海,城市风光,东方明珠,https://images.unsplash.com/photo-1508742066636-3b9fb738ee0e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTQlQjglOUMlRTYlOTYlQjklRTYlOTglOEUlRTclOEYlQTB8ZW58MXwwfHx8MTc3Mzg4MzQxOHww&ixlib=rb-4.1.0&q=80&w=1080,body of water beside city,True,1,False,False,东方明珠 Shanghai,https://images.unsplash.com/photo-1509189692239-6c2bb03eac8a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxMHx8JUU0JUI4JTlDJUU2JTk2JUI5JUU2JTk4JThFJUU3JThGJUEwJTIwU2hhbmdoYWl8ZW58MXwwfHx8MTc3Mzg4MzQyMXww&ixlib=rb-4.1.0&q=80&w=1080,上海东方明珠,True,1,False,False
setA-008,豫园,上海,历史文化,豫园,https://images.unsplash.com/photo-1689073248049-8ecdc5431529?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTglQjElQUIlRTUlOUIlQUR8ZW58MXwwfHx8MTc3Mzg5MTUzMHww&ixlib=rb-4.1.0&q=80&w=1080,SHANGHAI’S beauty,True,1,False,False,豫园 上海,https://images.unsplash.com/photo-1675906486790-deb3ef803efb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTglQjElQUIlRTUlOUIlQUQlMjAlRTQlQjglOEElRTYlQjUlQjd8ZW58MXwwfHx8MTc3MzkwODkxOHww&ixlib=rb-4.1.0&q=80&w=1080,,True,1,False,False
setA-009,上海博物馆,上海,历史文化,上海博物馆,https://images.unsplash.com/photo-1707236371143-8673c917107a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTQlQjglOEElRTYlQjUlQjclRTUlOEQlOUElRTclODklQTklRTklQTYlODZ8ZW58MXwwfHx8MTc3MzkwNjc3Mnww&ixlib=rb-4.1.0&q=80&w=1080,Chinese tradition opera musical instruments,True,1,False,False,上海博物馆 景点,https://images.unsplash.com/photo-1759104049717-b2a185621890?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwyfHwlRTQlQjglOEElRTYlQjUlQjclRTUlOEQlOUElRTclODklQTklRTklQTYlODYlMjAlRTYlOTklQUYlRTclODIlQjl8ZW58MXwwfHx8MTc3MzkyNDY3OXww&ixlib=rb-4.1.0&q=80&w=1080,Suzhou museum sign with chinese characters and english text,False,0,False,True
setA-010,田子坊,上海,艺术,田子坊,https://images.unsplash.com/photo-1715905366167-c7b681d6cb3d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTclOTQlQjAlRTUlQUQlOTAlRTUlOUQlOEF8ZW58MXwwfHx8MTc3MzkxMzAzNHww&ixlib=rb-4.1.0&q=80&w=1080,a group of people that are walking down a street,True,1,False,False,田子坊,,,False,,True,False
